INDICATOR,ORG_TYPE,ORG_CODE,ONS_CODE,NAME,ACH_DATE,MEASURE,VALUE,DQ
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,COUNTRY_RESPONSIBILITY,ENG,ENG,ENGLAND,30-Apr-22,DEMENTIA_REGISTER_65_PLUS,385564.0,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,COUNTRY_RESPONSIBILITY,ENG,ENG,ENGLAND,30-Apr-22,DEMENTIA_ESTIMATE_65_PLUS,615281.0,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,COUNTRY_RESPONSIBILITY,ENG,ENG,ENGLAND,30-Apr-22,DIAG_RATE_65_PLUS,62.7,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,COUNTRY_RESPONSIBILITY,ENG,ENG,ENGLAND,30-Apr-22,DIAG_RATE_65_PLUS_LL,56.5,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,COUNTRY_RESPONSIBILITY,ENG,ENG,ENGLAND,30-Apr-22,DIAG_RATE_65_PLUS_UL,67.9,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,COUNTRY_RESPONSIBILITY,ENG,ENG,ENGLAND,31-May-22,DEMENTIA_REGISTER_65_PLUS,396675.0,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,COUNTRY_RESPONSIBILITY,ENG,ENG,ENGLAND,31-May-22,DEMENTIA_ESTIMATE_65_PLUS,632155.7,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,COUNTRY_RESPONSIBILITY,ENG,ENG,ENGLAND,31-May-22,DIAG_RATE_65_PLUS,62.7,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,COUNTRY_RESPONSIBILITY,ENG,ENG,ENGLAND,31-May-22,DIAG_RATE_65_PLUS_LL,56.5,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,COUNTRY_RESPONSIBILITY,ENG,ENG,ENGLAND,31-May-22,DIAG_RATE_65_PLUS_UL,68.0,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,COUNTRY_RESPONSIBILITY,ENG,ENG,ENGLAND,30-Jun-22,DEMENTIA_REGISTER_65_PLUS,401275.0,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,COUNTRY_RESPONSIBILITY,ENG,ENG,ENGLAND,30-Jun-22,DEMENTIA_ESTIMATE_65_PLUS,639780.1,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,COUNTRY_RESPONSIBILITY,ENG,ENG,ENGLAND,30-Jun-22,DIAG_RATE_65_PLUS,62.7,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,COUNTRY_RESPONSIBILITY,ENG,ENG,ENGLAND,30-Jun-22,DIAG_RATE_65_PLUS_LL,56.5,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,COUNTRY_RESPONSIBILITY,ENG,ENG,ENGLAND,30-Jun-22,DIAG_RATE_65_PLUS_UL,68.0,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,COUNTRY_RESPONSIBILITY,ENG,ENG,ENGLAND,31-Jul-22,DEMENTIA_REGISTER_65_PLUS,404541.0,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,COUNTRY_RESPONSIBILITY,ENG,ENG,ENGLAND,31-Jul-22,DEMENTIA_ESTIMATE_65_PLUS,646126.6,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,COUNTRY_RESPONSIBILITY,ENG,ENG,ENGLAND,31-Jul-22,DIAG_RATE_65_PLUS,62.6,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,COUNTRY_RESPONSIBILITY,ENG,ENG,ENGLAND,31-Jul-22,DIAG_RATE_65_PLUS_LL,56.4,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,COUNTRY_RESPONSIBILITY,ENG,ENG,ENGLAND,31-Jul-22,DIAG_RATE_65_PLUS_UL,67.9,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,COUNTRY_RESPONSIBILITY,ENG,ENG,ENGLAND,31-Aug-22,DEMENTIA_REGISTER_65_PLUS,407985.0,
